127.0.0.1 - - [12/Jun/2022:12:48:42 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:48:44 +0530] "GET /check/ HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:48:44 +0530] "GET /check/bgimages/che.PNG HTTP/1.1" 200 664721
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:48:44 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:49:01 +0530] "GET /check/charitylogin.jsp HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:49:01 +0530] "GET /check/Local/800px_COLOURBOX36656707.jpg HTTP/1.1" 200 55184
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:49:01 +0530] "GET /check/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:49:01 +0530] "GET /check/webfonts/fa-solid-900.woff HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:49:01 +0530] "GET /check/webfonts/fa-solid-900.ttf HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:49:04 +0530] "GET /check/charityregister.jsp HTTP/1.1" 200 3507
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:49:04 +0530] "GET /check/appointment.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:02 +0530] "POST /check/charityreg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:02 +0530] "GET /check/charitylogin.jsp HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:02 +0530] "GET /check/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:02 +0530] "GET /check/webfonts/fa-solid-900.woff HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:02 +0530] "GET /check/webfonts/fa-solid-900.ttf HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:14 +0530] "GET /check/publiclogin.jsp HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:14 +0530] "GET /check/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:14 +0530] "GET /check/Local/char3.jpg HTTP/1.1" 200 42289
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:14 +0530] "GET /check/webfonts/fa-solid-900.woff HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:14 +0530] "GET /check/webfonts/fa-solid-900.ttf HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:18 +0530] "GET /check/publicregister.jsp HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:18 +0530] "GET /check/appointment.css HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:18 +0530] "GET /check/Local/char5.jpg HTTP/1.1" 200 83918
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:57 +0530] "POST /check/Publicregservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:57 +0530] "GET /check/publiclogin.jsp HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:57 +0530] "GET /check/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:57 +0530] "GET /check/webfonts/fa-solid-900.woff HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:50:57 +0530] "GET /check/webfonts/fa-solid-900.ttf HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:06 +0530] "GET /check/maincharitylogin.jsp HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:06 +0530] "GET /check/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:06 +0530] "GET /check/webfonts/fa-solid-900.woff HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:06 +0530] "GET /check/webfonts/fa-solid-900.ttf HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:20 +0530] "POST /check/logina.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:20 +0530] "GET /check/maincharity.jsp HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:20 +0530] "GET /check/bgimages/c3.jpg HTTP/1.1" 200 82214
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:27 +0530] "GET /check/approved.jsp HTTP/1.1" 200 4164
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:27 +0530] "GET /check/Local/paolo-bendandi-CU_tgif9PTg-unsplash.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:27 +0530] "GET /check/Local/ctslogo.jpg HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:27 +0530] "GET /check/Local/charity-810x476.jpg HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:27 +0530] "GET /check/Local/pexels-burst-373883.jpg HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:40 +0530] "GET /check/verified.jsp?id=13 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:12:51:40 +0530] "GET /check/approved.jsp?valid HTTP/1.1" 200 4160
